City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hermanus,-34.42,19.23,54.0,92,12,8.72,ZA,1611796843
Hilo,19.73,-155.09,73.4,78,90,4.61,US,1611796843
Punta Arenas,-53.15,-70.92,42.8,87,90,9.22,CL,1611796843
Esperance,-33.87,121.9,68.0,68,75,9.22,AU,1611796843
Albany,42.6,-73.97,28.99,61,99,1.01,US,1611796843
Anadyr,64.75,177.48,12.2,85,75,22.37,RU,1611796515
Havøysund,71.0,24.66,21.2,68,40,11.5,NO,1611796515
Saint-Philippe,-21.36,55.77,77.0,61,0,6.91,RE,1611796844
Rikitea,-23.12,-134.97,79.72,74,100,10.98,PF,1611796844
Cabo San Lucas,22.89,-109.91,66.2,72,1,3.44,MX,1611796704
Jamestown,42.1,-79.24,23.0,86,90,4.32,US,1611796516
Yinchuan,38.47,106.27,20.82,69,0,2.68,CN,1611796516
Butaritari,3.07,172.79,80.53,80,100,16.89,KI,1611796516
Batticaloa,7.71,81.69,75.99,79,96,8.32,LK,1611796517
Vaini,-21.2,-175.2,77.0,88,90,6.91,TO,1611796545
Atuona,-9.8,-139.03,78.71,78,3,15.61,PF,1611796517
Salalah,17.02,54.09,69.8,64,0,2.3,OM,1611796517
Chokurdakh,70.63,147.92,-14.55,89,100,11.07,RU,1611796518
Māngrol,21.12,70.12,60.28,34,0,14.12,IN,1611796518
Arraial do Cabo,-22.97,-42.03,77.34,80,100,28.48,BR,1611796518
Vila Velha,-20.33,-40.29,78.8,73,0,9.22,BR,1611796518
Riyadh,24.69,46.72,60.8,31,0,6.91,SA,1611796506
Bambous Virieux,-20.34,57.76,75.99,88,20,3.44,MU,1611796519
Busselton,-33.65,115.33,68.0,61,53,1.99,AU,1611796517
Mataura,-46.19,168.86,52.0,74,100,18.01,NZ,1611796519
Mar del Plata,-38.0,-57.56,66.99,68,0,6.91,AR,1611796519
Ola,59.58,151.28,-12.33,83,0,10.56,RU,1611796520
New Norfolk,-42.78,147.06,66.99,40,0,1.99,AU,1611796520
Kichera,55.94,110.1,-22.43,75,100,2.35,RU,1611796520
Upernavik,72.79,-56.15,-4.13,91,100,5.14,GL,1611796520
Tuktoyaktuk,69.45,-133.04,-31.0,75,20,2.3,CA,1611796520
Saint Paul Harbor,57.79,-152.41,33.8,75,90,5.75,US,1611796521
Tashigang,27.33,91.55,44.87,55,0,4.34,BT,1611796521
George Town,5.41,100.34,79.0,88,20,4.12,MY,1611796521
Bahir Dar,11.59,37.39,63.45,50,0,3.85,ET,1611796501
Bay City,43.59,-83.89,21.99,73,90,4.61,US,1611796335
Pringsewu,-5.36,104.97,72.84,95,100,2.35,ID,1611796522
Hobart,-42.88,147.33,66.99,51,75,8.05,AU,1611796522
Kapaa,22.08,-159.32,75.99,88,75,20.71,US,1611796522
Mtambile,-5.38,39.7,79.29,81,91,9.69,TZ,1611796522
Cape Town,-33.93,18.42,64.0,77,0,11.5,ZA,1611796499
Provideniya,64.38,-173.3,10.4,85,90,35.79,RU,1611796523
Morondava,-20.28,44.28,81.7,74,34,1.05,MG,1611796523
Cherskiy,68.75,161.3,-23.98,85,100,4.97,RU,1611796523
Pacifica,37.61,-122.49,51.01,76,90,18.41,US,1611796523
Kahului,20.89,-156.47,78.8,61,40,20.71,US,1611796524
Fortuna,40.6,-124.16,48.99,87,40,14.97,US,1611796524
Rio Grande,-32.03,-52.1,71.01,96,100,7.34,BR,1611796384
Mahébourg,-20.41,57.7,73.4,88,20,3.44,MU,1611796524
Ostrovnoy,68.05,39.51,11.48,94,100,20.83,RU,1611796525
Severo-Kuril'sk,50.68,156.12,29.82,97,100,22.35,RU,1611796525
Zeya,53.75,127.27,-19.37,83,100,4.25,RU,1611796525
Bredasdorp,-34.53,20.04,48.2,87,18,2.59,ZA,1611796525
Vila Franca do Campo,37.72,-25.43,60.01,94,75,25.32,PT,1611796525
Coyhaique,-45.58,-72.07,53.6,66,75,3.44,CL,1611796407
Port Alfred,-33.59,26.89,60.01,91,16,1.99,ZA,1611796526
Yellowknife,62.46,-114.35,-9.99,77,90,3.44,CA,1611796408
Nicoya,10.15,-85.45,80.6,57,0,14.97,CR,1611796526
Verkhoyansk,67.54,133.38,-49.04,73,57,1.12,RU,1611796526
Hithadhoo,-0.6,73.08,81.81,77,100,16.53,MV,1611796527
Teya,60.38,92.63,-29.49,81,100,2.33,RU,1611796527
Berea,41.37,-81.85,28.0,68,90,8.05,US,1611796348
Puerto Ayora,-0.74,-90.35,78.01,91,21,1.99,EC,1611796387
Port Lincoln,-34.73,135.87,67.26,76,100,6.93,AU,1611796528
Tigil',57.8,158.67,-1.39,93,98,5.39,RU,1611796528
