,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,12,ZA,1611796843,92,-34.4187,19.2345,54.0,8.72
1,Hilo,90,US,1611796843,78,19.7297,-155.09,73.4,4.61
2,Punta Arenas,90,CL,1611796843,87,-53.15,-70.9167,42.8,9.22
3,Esperance,75,AU,1611796843,68,-33.8667,121.9,68.0,9.22
4,Albany,99,US,1611796843,61,42.6001,-73.9662,28.99,1.01
5,Anadyr,75,RU,1611796515,85,64.75,177.4833,12.2,22.37
6,Havøysund,40,NO,1611796515,68,70.9963,24.6622,21.2,11.5
7,Saint-Philippe,0,RE,1611796844,61,-21.3585,55.7679,77.0,6.91
8,Rikitea,100,PF,1611796844,74,-23.1203,-134.9692,79.72,10.98
9,Cabo San Lucas,1,MX,1611796704,72,22.8909,-109.9124,66.2,3.44
10,Jamestown,90,US,1611796516,86,42.097,-79.2353,23.0,4.32
11,Yinchuan,0,CN,1611796516,69,38.4681,106.2731,20.82,2.68
12,Butaritari,100,KI,1611796516,80,3.0707,172.7902,80.53,16.89
13,Batticaloa,96,LK,1611796517,79,7.7102,81.6924,75.99,8.32
14,Vaini,90,TO,1611796545,88,-21.2,-175.2,77.0,6.91
15,Atuona,3,PF,1611796517,78,-9.8,-139.0333,78.71,15.61
16,Salalah,0,OM,1611796517,64,17.0151,54.0924,69.8,2.3
17,Chokurdakh,100,RU,1611796518,89,70.6333,147.9167,-14.55,11.07
18,Māngrol,0,IN,1611796518,34,21.1167,70.1167,60.28,14.12
19,Arraial do Cabo,100,BR,1611796518,80,-22.9661,-42.0278,77.34,28.48
20,Vila Velha,0,BR,1611796518,73,-20.3297,-40.2925,78.8,9.22
21,Riyadh,0,SA,1611796506,31,24.6877,46.7219,60.8,6.91
22,Bambous Virieux,20,MU,1611796519,88,-20.3428,57.7575,75.99,3.44
23,Busselton,53,AU,1611796517,61,-33.65,115.3333,68.0,1.99
24,Mataura,100,NZ,1611796519,74,-46.1927,168.8643,52.0,18.01
25,Mar del Plata,0,AR,1611796519,68,-38.0023,-57.5575,66.99,6.91
26,Ola,0,RU,1611796520,83,59.5833,151.2833,-12.33,10.56
27,New Norfolk,0,AU,1611796520,40,-42.7826,147.0587,66.99,1.99
28,Kichera,100,RU,1611796520,75,55.9375,110.0997,-22.43,2.35
29,Upernavik,100,GL,1611796520,91,72.7868,-56.1549,-4.13,5.14
30,Tuktoyaktuk,20,CA,1611796520,75,69.4541,-133.0374,-31.0,2.3
31,Saint Paul Harbor,90,US,1611796521,75,57.79,-152.4072,33.8,5.75
32,Tashigang,0,BT,1611796521,55,27.3331,91.5542,44.87,4.34
33,George Town,20,MY,1611796521,88,5.4112,100.3354,79.0,4.12
34,Bahir Dar,0,ET,1611796501,50,11.5936,37.3908,63.45,3.85
35,Bay City,90,US,1611796335,73,43.5945,-83.8889,21.99,4.61
36,Pringsewu,100,ID,1611796522,95,-5.3582,104.9744,72.84,2.35
37,Hobart,75,AU,1611796522,51,-42.8794,147.3294,66.99,8.05
38,Kapaa,75,US,1611796522,88,22.0752,-159.319,75.99,20.71
